"name"
(냉)갈치
(냉)고등어
(냉)고등어 수입
(선)갈치
(선)고등어
(선)명태 수입
가리비
가무락(모시조개)
가시오이
가오리 수입
가자미
가지
갈치 수입
감 대봉시
감 말랭이
감 약시
감귤
감귤 극조생
감귤 금귤
감귤 비가림
감귤 온주
감귤 하우스
감숭어
감자
감자 대지마
감자 두백
감자 수미
감자 수미(저장)
감자 수미(햇)
감자 수입
갑오징어
갯장어
건고구마순 수입
건꼴뚜기
건대멸치
건미역 대각
건세멸치
건소멸치
건오징어 근해
건자멸치
건중멸치
건토란대 수입
건파래
겉홍합
겨자잎
고구마
고구마 풍원미
고수
골드파인애플 수입
곰취나물
곶감 국산
굴
그린빈스
그린키위 국산
근대
김 개량
김 재래
깐 바지락
깐쪽파
깻잎
꽃게 수입
꽃게수
꽃게암
꽃느타리버섯
꽈리고추
낙지 수입
냉동 가자미 수입
냉동 꽁치
냉동 낙지
냉동 낙지 수입
냉동 오징어(연안)
냉동 오징어(원양)
냉동 조기 수입
냉동 주꾸미 수입
냉이
냉이 수입
냉태 원양
노각오이
노랑 파프리카
녹광고추
논우렁
느타리버섯
늙은호박
다발무
다시마
단감 부유
단감 상서
단감 서촌
단감 송본
단호박 수입
단호박(일반)
달래(일반)
당귀잎
당근
당근 수입
대구
대구 냉장 수입
대구 수입
대파 수입
대파(일반)
대합
도루묵
돗나물
동죽
둥근 애호박
딸기
딸기 금실
딸기 설향
딸기 육보
딸기 장희
딸기 죽향
땅두릅(재배산)
땅콩 수입
레드 치커리
레몬 수입
로메인(일반)
로케트 루꼴라
롱그린고추
마늘 쫑
만가닥버섯
만감 레드향
만감 천혜향
만감 한라봉
만감 황금향
맛
망고 국산
매생이(일반)
머위대
멍게
메론 머스크
메론 파파야
명태피포
모과
몽키바나나 수입
무
무순
무화과 국산
문어
물오징어
미나리
미더덕
민어
바나나 수입
바실
바지락
바지락 수입
반청갓
방풍나물
배 신고
배 원황
배추
배추얼갈이
백다다기오이
백색메론
백조기
뱅어포
병어
복분자(일반)
복수박
복숭아 가납암
복숭아 경봉
복숭아 그레이트
복숭아 레드골드
복숭아 미백
복숭아 백도 기타
복숭아 백봉
복숭아 사자
복숭아 선광
복숭아 선프레
복숭아 신비
복숭아 신선
복숭아 아부백도
복숭아 암킹
복숭아 애천중도
복숭아 엘버트
복숭아 올인
복숭아 월미
복숭아 월봉
복숭아 유명백도
복숭아 창방
복숭아 천도 기타
복숭아 천중도백도
복숭아 천홍
복숭아 호기도
복숭아 환타지아
복숭아 황도 기타
봄동배추
봉지 미역
봉지 바지락
부세 수입
부추(일반)
북어 대태
북어채
브로콜리
브로콜리 국산
브로콜리 수입
블루베리 국산
블루베리 수입
비름
비타민
비트
비트 국산
빨간양배추 국산
빨간양배추 수입
빨강 파프리카
사과 감홍
사과 로얄부사
사과 미시마
사과 미야비
사과 미얀마
사과 부사
사과 시나노레드
사과 시나노스위트
사과 아오리
사과 양광
사과 요까
사과 홍로
사과 홍옥
사과 홍장군
사과 히로사끼
사과대추
산딸기 국산
살구 개량
삼치
상추
상추 적포기
상추 포기찹
새 꼬막
새송이버섯
새우수입
새조개
생강 구강
생강 원강
생강 재강
생대추
생취나물
생표고
생표고 수입　
석류 수입
셀러리
소라
수박
수박(일반)
수삼 5년근
시금치
시금치 섬초
시금치 포항초
실파
쌈배추
쑥
쑥(일반)
쑥갓
씀바귀
아귀 냉장 수입
아귀(일반)
아로니아 국산
아보카도 수입
아스파라가스 국산
아욱
알배기배추
애호박
앵두 국산
양배추
양배추 수입
양상추
양상추 수입
양상추(일반)
양송이
양파
양파 수입
양파 조생
양파(햇)
연근(일반)
열무
염장 다시마
영양부추
오디 국산
오렌지 네블 수입
오렌지 발렌샤 수입
오렌지 파프리카
오만둥이
오이맛고추
완두콩
유자
육쪽마늘
임연수어
임연수어 수입
잉어
자두 대석
자두 정상
자두 추희
자두 후무사
자몽 수입
자주양파
저장 양파
적겨자잎
적근대
적로메인
적상추
적어 수입
전어
절임배추
주꾸미
주꾸미 수입
죽순 국산
중하
쥬키니호박
쪽파(일반)
쫑상추
찰옥수수
참나물
참두릅(자연산)
참숭어
참외(일반)
참조기
청갓
청경채
청매실
청상추
청양고추
청어
청초
청피망
체리 국산
취나물
취청오이
치커리(일반)
칼리플라워
케일
코다리명태
콜라비(일반)
키위 기타 수입
토마토
토마토 대저
토마토 대추방울
토마토 방울
토마토 완숙
통로메인
파세리
파인애플 수입
팽이버섯
포도 거봉
포도 네오머스켓
포도 델라웨어
포도 마스컷(MBA)
포도 샤인머스켓
포도 수입
포도 청포도
포도 캠벨얼리
풋고추(일반)
피뿔고동(소라)
피조개
해삼
햇마늘 난지
햇마늘 남도
햇마늘 대서
햇마늘 한지
호박 고구마
호박밤 고구마
홍감자
홍게
홍고추
홍어 수입
홍자두
홍피망
홍합살
활 넙치(양식)
활 넙치(자연)
활 노래미(자연)
활 농어 수입
활 농어(자연)
활 돔(양식)
활 돔(자연)
활 미꾸라지(양식)
활 민어(자연)
활 방어(자연)
활 우럭(양식)
활 우럭(자연)
활 전복(양식)
활 전어(자연)
활 점성어 수입
활꽃게수
활꽃게암
활낙지 수입
활도다리(자연)
활메기(양식)
활민물장어(양식)
황색메론
